anio;codigo_delito_snic_id;codigo_delito_snic_nombre;cantidad_hechos;cantidad_victimas;cantidad_victimas_masc;cantidad_victimas_fem;cantidad_victimas_sd;tasa_hechos;tasa_victimas;tasa_victimas_masc;tasa_victimas_fem
2002;8;Otros delitos contra las personas;16947;17741;9915;5009;2817;45,139935;47,254829;53,924629;26,147821
2002;9;Delitos contra el honor;295;308;80;199;29;,78576034;,82038707;,43509534;1,0388135
2002;10;Abusos sexuales con acceso carnal (violaciones);3037;3098;250;2161;687;8,0893364;8,2518158;1,3596729;11,280784
2002;11;Otros delitos contra la integridad sexual;5773;5997;704;4087;1206;15,37693;15,973576;3,8288388;21,334827
2002;12;Delitos contra el estado civil;219;;;;;,58332717;;;
2002;13;Amenazas;114247;;;;;304,30768;;;
2002;14;Otros delitos contra la libertad;13921;13921;0;0;13921;37,079899;37,079899;0;0
2002;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);423478;;;;;1127,9736;;;
2002;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);25500;;;;;67,921661;;;
2002;17;Robos agravados por el resultado de lesiones y/o muertes ;17906;;;;;47,694321;;;
2002;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;3015;;;;;8,0307369;;;
2002;19;Hurtos;372905;;;;;993,2677;;;
2002;20;Tentativas de hurto;13813;;;;;36,792229;;;
2002;21;Otros delitos contra la propiedad;80247;;;;;213,74547;;;
2002;22;Delitos contra la seguridad pública;5199;;;;;13,848027;;;
2002;23;Delitos contra el orden público;1241;;;;;3,3055208;;;
2002;24;Delitos contra la seguridad de la nación;59;;;;;,15715207;;;
2002;25;Delitos contra los poderes públicos y el orden constitucional;159;;;;;,42351151;;;
2002;26;Delitos contra la administración pública;12330;;;;;32,842121;;;
2002;27;Delitos contra la fe pública;5495;;;;;14,636452;;;
2002;28;Ley 23,737 (estupefacientes);15508;;;;;41,307022;;;
2002;29;Otros delitos previstos en leyes especiales;23139;;;;;61,632912;;;
2002;30;Contravenciones;118238;;;;;314,93808;;;
2002;31;Suicidios (consumados);2966;2966;0;0;2966;8,6973391;8,6973391;0;0
2003;1;Homicidios dolosos;2883;2967;2354;349;264;7,5999737;7,8214087;12,673499;1,802673
2003;2;Homicidios dolosos en grado de tentativa;928;974;770;115;89;2,446332;2,5675943;4,1455369;,59400398
2003;3;Muertes en accidentes viales;3125;3531;2432;771;328;8,2379179;9,3081884;13,093436;3,9824095
2003;4;Homicidios culposos por otros hechos;665;688;419;217;52;1,7530289;1,81366;2,2558181;1,1208597
2003;5;Lesiones dolosas;131360;137578;66664;48817;22097;346,28253;362,67401;358,90659;252,15211
2003;6;Lesiones culposas en Accidentes Viales;56678;64881;36250;18194;10437;149,41078;171,03499;195,16327;93,976601
2003;7;Lesiones culposas por otros hechos;7356;7664;3251;1868;2545;19,391399;20,203329;17,502781;9,6486912
2003;8;Otros delitos contra las personas;16509;17239;9585;4830;2824;43,519932;45,444309;51,603859;24,948168
2003;9;Delitos contra el honor;328;332;71;211;50;,86465186;,8751964;,38225082;1,0898682
2003;10;Abusos sexuales con acceso carnal (violaciones);3451;3521;297;2407;817;9,0972977;9,281827;1,5989928;12,432762
2003;11;Otros delitos contra la integridad sexual;6484;6698;752;4711;1235;17,092691;17,656824;4,0486283;24,333504
2003;12;Delitos contra el estado civil;196;;;;;,51668221;;;
2003;13;Amenazas;117234;;;;;309,04449;;;
2003;14;Otros delitos contra la libertad;13267;13267;0;0;13267;34,973587;34,973587;0;0
2003;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);393547;;;;;1037,4425;;;
2003;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);21547;;;;;56,800774;;;
2003;17;Robos agravados por el resultado de lesiones y/o muertes ;16552;;;;;43,633286;;;
2003;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;2216;;;;;5,8416724;;;
2003;19;Hurtos;334916;;;;;882,88336;;;
2003;20;Tentativas de hurto;11070;;;;;29,181999;;;
2003;21;Otros delitos contra la propiedad;76862;;;;;202,61852;;;
2003;22;Delitos contra la seguridad pública;4934;;;;;13,006683;;;
2003;23;Delitos contra el orden público;987;;;;;2,6018639;;;
2003;24;Delitos contra la seguridad de la nación;56;;;;;,14762349;;;
2003;25;Delitos contra los poderes públicos y el orden constitucional;135;;;;;,35587806;;;
2003;26;Delitos contra la administración pública;13127;;;;;34,604527;;;
2003;27;Delitos contra la fe pública;5000;;;;;13,180669;;;
2003;28;Ley 23,737 (estupefacientes);15378;;;;;40,538464;;;
2003;29;Otros delitos previstos en leyes especiales;22004;;;;;58,005486;;;
2003;30;Contravenciones;130115;;;;;343,00055;;;
2003;31;Suicidios (consumados);2860;2860;0;0;2860;8,2953911;8,2953911;0;0
2004;1;Homicidios dolosos;2264;2341;1780;350;211;5,9066768;6,1075664;9,4864931;1,7888199
2004;2;Homicidios dolosos en grado de tentativa;876;931;644;132;155;2,2854455;2,4289382;3,4321921;,67464066
2004;3;Muertes en accidentes viales;3506;3982;2667;874;441;9,1470003;10,388863;14,213752;4,466939
2004;4;Homicidios culposos por otros hechos;716;785;498;207;80;1,8680125;2,0480306;2,6540864;1,0579592
2004;5;Lesiones dolosas;142257;148802;71774;54355;22673;371,14227;388,2179;382,51886;277,80374
2004;6;Lesiones culposas en Accidentes Viales;64717;74394;43193;20915;10286;168,84381;194,09068;230,19669;106,89477
2004;7;Lesiones culposas por otros hechos;8620;8931;3665;2440;2826;22,489201;23,300587;19,532583;12,47063
2004;8;Otros delitos contra las personas;16708;17619;9002;5320;3297;43,590439;45,967197;47,976074;27,190062
2004;9;Delitos contra el honor;381;392;84;272;36;,99401224;1,0227108;,44767722;1,3901685
2004;10;Abusos sexuales con acceso carnal (violaciones);3452;3529;334;2515;680;9,0061159;9,2070055;1,7800499;12,853949
2004;11;Otros delitos contra la integridad sexual;6921;7152;800;5001;1351;18,056585;18,659254;4,2635927;25,559681
2004;12;Delitos contra el estado civil;156;;;;;,40699714;;;
2004;13;Amenazas;130448;;;;;340,3331;;;
2004;14;Otros delitos contra la libertad;13238;13238;0;0;13238;34,537361;34,537361;0;0
2004;15;Robos (excluye los agravados por el resultado de lesiones y/o muertes);352554;;;;;919,79791;;;
2004;16;Tentativas de robo (excluye las agravadas por el res, de lesiones y/o muerte);21468;;;;;56,009068;;;
2004;17;Robos agravados por el resultado de lesiones y/o muertes ;11157;;;;;29,108124;;;
2004;18;Tentativas de robo agravado por el resultado de lesiones y/o muertes;1737;;;;;4,5317569;;;
2004;19;Hurtos;316886;;;;;826,74164;;;
2004;20;Tentativas de hurto;11332;;;;;29,56469;;;
2004;21;Otros delitos contra la propiedad;77755;;;;;202,85938;;;
2004;22;Delitos contra la seguridad pública;4833;;;;;12,609085;;;
2004;23;Delitos contra el orden público;1350;;;;;3,5220907;;;
2004;24;Delitos contra la seguridad de la nación;61;;;;;,15914632;;;
2004;25;Delitos contra los poderes públicos y el orden constitucional;140;;;;;,36525384;;;
2004;26;Delitos contra la administración pública;13531;;;;;35,301785;;;
2004;27;Delitos contra la fe pública;4989;;;;;13,016082;;;
2004;28;Ley 23,737 (estupefacientes);18341;;;;;47,850864;;;
2004;29;Otros delitos previstos en leyes especiales;22522;;;;;58,758907;;;
2004;30;Contravenciones;128199;;;;;334,46555;;;
2004;31;Suicidios (consumados);2843;2843;0;0;2843;8,1564884;8,1564884;0;0
2005;1;Homicidios dolosos;2120;2203;1689;322;192;5,4739642;5,6882753;8,9106827;1,6284015
2005;2;Homicidios dolosos en grado de tentativa;916;978;694;151;133;2,3651657;2,5252533;3,6613464;,76362926
2005;3;Muertes en accidentes viales;3443;3983;2771;919;293;8,890028;10,28434;14,619007;4,6475186
2005;4;Homicidios culposos por otros hechos;895;941;593;198;150;2,3109424;2,4297173;3,128499;1,0013152
